Plant Name,Type,Sunlight,Watering,Soil Type,Temperature Range,Pests/Diseases,Fertilizer Recommendation,Companion Plants,Growth Time,Plant Height,Common Uses
Tulsi (तुळस / तुलसी),Herb,Full Sun,Moderate,Well-drained,20-30°C,Aphids, Organic compost,"Tomato, Basil",60 days,30-60 cm,"Medicinal, Religious"
Aloe Vera (कोरफड / घृतकुमारी),Succulent,Partial Sun,Low,Sandy,15-25°C,Mealybugs, Low-nitrogen fertilizer,"Garlic, Onion",90 days,30-60 cm,"Medicinal, Cosmetic"
Marigold (झेंडू / गेंदा),Flower,Full Sun,Moderate,Well-drained,15-25°C,Aphids, Balanced fertilizer,"Tomato, Cucumber",70 days,30-90 cm,"Ornamental, Pest control"
Spinach (पालक / पालक),Vegetable,Partial Sun,Frequent,Loamy,10-20°C,Leaf miners, Nitrogen-rich fertilizer,"Strawberry, Peas",40 days,20-30 cm,"Culinary"
Money Plant (मनी प्लांट / मनी प्लांट),Indoor,Indirect Light,Moderate,Well-drained,15-30°C,Spider mites, Liquid fertilizer,"N/A",30 days,Trailing,"Ornamental, Air purifier"
Neem (कडुनिंब / नीम),Tree,Full Sun,Low,Well-drained,20-35°C,Scale insects, Organic fertilizer,"N/A",100 days,15-20 m,"Medicinal, Pest control"
Lemongrass (गवती चहा / लेमनग्रास),Grass,Full Sun,Moderate,Well-drained,20-30°C,Rust, Compost,"Mint, Basil",75 days,1-1.5 m,"Culinary, Mosquito repellent"
Coriander (धणे / धनिया),Herb,Partial Sun,Frequent,Loamy,15-25°C,Aphids, Nitrogen fertilizer,"Peas, Spinach",40 days,30-50 cm,"Culinary"
Mint (पुदिना / पुदीना),Herb,Partial Sun,Frequent,Moist,15-25°C,Spider mites, Organic fertilizer,"Carrot, Cabbage",50 days,20-30 cm,"Culinary, Medicinal"
Curry Leaves (कढीपत्ता / करी पत्ता),Tree,Full Sun,Moderate,Well-drained,15-30°C,Scale insects, Compost,"N/A",80 days,2-4 m,"Culinary"
Basil (साबा / तुलसी विदेशी),Herb,Full Sun,Moderate,Well-drained,20-30°C,Aphids, Organic fertilizer,"Tomato, Pepper",60 days,30-60 cm,"Culinary, Medicinal"
Tomato (टोमॅटो / टमाटर),Vegetable,Full Sun,Frequent,Well-drained,18-25°C,Whiteflies, NPK 5-10-10,"Basil, Carrot",80 days,1-2 m,"Culinary"
Chili (मिरची / मिर्च),Vegetable,Full Sun,Moderate,Well-drained,20-30°C,Aphids, NPK 5-10-10,"Basil, Onion",90 days,60-90 cm,"Culinary"
Brinjal (वांगे / बैंगन),Vegetable,Full Sun,Frequent,Well-drained,20-30°C,Fruit borers, Compost,"Beans, Spinach",85 days,60-120 cm,"Culinary"
Fenugreek (मेथी / मेथी),Herb,Full Sun,Moderate,Loamy,15-25°C,Aphids, Nitrogen fertilizer,"Peas, Spinach",30 days,30-60 cm,"Culinary, Medicinal"
Peas (हरभरा / मटर),Vegetable,Full Sun,Moderate,Loamy,10-20°C,Aphids, Compost,"Carrot, Radish",70 days,60-120 cm,"Culinary"
Lady Finger (भेंडी / भिंडी),Vegetable,Full Sun,Frequent,Well-drained,20-35°C,Aphids, Compost,"Corn, Beans",60 days,1-1.5 m,"Culinary"
Bitter Gourd (कारले / करेला),Vegetable,Full Sun,Frequent,Well-drained,20-30°C,Fruit flies, Compost,"Beans, Corn",95 days,2-3 m,"Culinary, Medicinal"
Cabbage (कोबी / पत्ता गोभी),Vegetable,Full Sun,Frequent,Loamy,15-20°C,Cabbage worms, NPK 10-10-10,"Beets, Celery",90 days,30-60 cm,"Culinary"
Bottle Gourd (दुधी / लौकी),Vegetable,Full Sun,Frequent,Well-drained,20-30°C,Powdery mildew, Compost,"Beans, Corn",80 days,Trailing,"Culinary"
Rose (गुलाब / गुलाब),Flower,Full Sun,Moderate,Well-drained,15-25°C,Aphids, Rose fertilizer,"Garlic, Marigold",60 days,60-180 cm,"Ornamental"
Sunflower (सूर्यमुखी / सूरजमुखी),Flower,Full Sun,Moderate,Well-drained,15-25°C,Birds, Compost,"Cucumber, Squash",70 days,1-3 m,"Ornamental, Edible seeds"
Lily (कमल / कमल),Flower,Partial Sun,Moderate,Well-drained,15-25°C,Aphids, Balanced fertilizer,"Rose, Marigold",50 days,30-120 cm,"Ornamental"
Hibiscus (जास्वंद / जास्वंद),Flower,Full Sun,Frequent,Well-drained,15-30°C,Whiteflies, Phosphorus-rich fertilizer,"Marigold, Basil",60 days,1-3 m,"Ornamental, Medicinal"
